field_1,E19301166
"455","46482"
"456","47605"
"457","56516"
"458","26602"
"459","38285"
"460","62069"
"461","41387"
"462","34121"
"463","45628"
"464","57980"
"465","50530"
"466","35655"
"467","36621"
"468","31183"
"469","41603"
"470","46150"
"471","70450"
"472","70060"
"473","70450"
"474","65311"
"475","54271"
"476","40914"
"477","71657"
"478","57493"
"479","69428"
"480","42168"
"481","47108"
"482","73880"
"483","64829"
"484","78512"
"485","36224"
"486","74882"
"487","26777"
"488","78512"
"489","61141"
"490","56050"
"491","35524"
"492","38285"
"493","51206"
"494","51206"
"495","72133"
"496","71990"
"497","32253"
"498","71990"
"499","54888"
"500","54888"
"501","51087"
"502","48624"
"503","71283"
"504","33808"
"505","24063"
"506","59612"
"507","64829"
"508","56952"
"509","71283"
"510","69404"
"511","43454"
"512","69419"
"513","48771"
"514","59487"
"515","37398"
"516","26488"
"517","59476"
"518","117849"
"519","47757"
"520","28947"
"521","26602"
"522","37830"
"523","35239"
"524","29559"
"525","88247"
"526","66063"
"527","50530"
"528","37334"
"529","78461"
"530","36664"
"531","27988"
"532","65311"
"533","26275"
"534","40012"
"535","36057"
"536","50680"
"537","57466"
"538","34834"
"539","35239"
"540","51570"
"541","31355"
"542","33786"
"543","66560"
"544","34121"
"545","81398"
"546","78579"
"547","29559"
"548","29355"
"549","22119"
"550","74861"
"551","78574"
"552","35765"
"553","35524"
"554","53533"
"555","74920"
"556","99634"
"557","26457"
"558","67983"
"559","38285"
"560","42932"
"561","47758"
"562","41609"
"563","62464"
"564","65900"
"565","66063"
"566","36991"
"567","72597"
"568","73490"
"569","50530"
"570","40012"
"571","54271"
"572","32264"
"573","72133"
"574","29355"
"575","39729"
"576","23130"
"577","61139"
"578","46482"
"579","30088"
"580","54888"
"581","23399"
"582","69251"
"583","41097"
"584","34121"
"585","41359"
"586","44355"
"587","66934"
"588","48887"
"589","62659"
"590","69419"
"591","39993"
"592","31330"
"593","43514"
"594","29017"
"595","31183"
"596","26052"
"597","41359"
"598","33362"
"599","96675"
"600","70799"
"601","47758"
"602","40012"
"603","70553"
"604","59236"
"605","26457"
"606","57466"
"607","49580"
"608","38285"
"609","53533"
"610","41609"
"611","78574"
"612","59236"
"613","62464"
"614","25403"
"615","37684"
"616","53916"
"617","59238"
"618","55495"
"619","27757"
"620","32202"
"621","59487"
"622","25008"
"623","51087"
"624","36189"
"625","44946"
"626","35926"
"627","62263"
"628","53439"
"629","41073"
"630","30362"
"631","70724"
"632","63752"
"633","56988"
"634","44330"
"635","70553"
"636","28438"
"637","36206"
"638","37734"
"639","71990"
"640","64829"
"641","39057"
"642","51032"
"643","59487"
"644","54888"
"645","36664"
"646","64829"
"647","46838"
"648","26275"
"649","26939"
"650","26029"
"651","64988"
"652","28417"
"653","58767"
"654","42932"
"655","60858"
"656","66919"
"657","93136"
"658","67983"
"659","88247"
"660","41359"
"661","49710"
"662","52771"
"663","37684"
"664","64988"
"665","43454"
"666","41609"
"667","63398"
"668","45628"
"669","93136"
"670","57554"
"671","54707"
"672","63752"
"673","84696"
"674","44322"
"675","54418"
"676","41359"
"677","29150"
"678","64829"
"679","54888"
"680","28972"
"681","69419"
"682","40012"
"683","40266"
"684","54707"
"685","63752"
"686","33362"
"687","54888"
"688","57042"
"689","64988"
"690","26602"
"691","99634"
"692","44322"
"693","54551"
"694","66063"
"695","30170"
"696","65311"
"697","25217"
"698","38285"
"699","84148"
"700","50639"
"701","26777"
"702","65900"
"703","78051"
"704","21759"
"705","45628"
"706","43947"
"707","56988"
"708","42230"
"709","39993"
"710","37767"
"711","33786"
"712","62464"
"713","29755"
"714","46482"
"715","32253"
"716","34638"
"717","54582"
"718","54582"
"719","40012"
"720","41603"
"721","62650"
"722","73880"
"723","60855"
"724","29017"
"725","29355"
"726","41482"
"727","51003"
"728","32528"
"729","78461"
"730","26602"
"731","55495"
"732","53236"
"733","56988"
"734","26488"
"735","46694"
"736","49580"
"737","62069"
"738","93136"
"739","35547"
"740","20562"
"741","43788"
"742","61139"
"743","61139"
"744","63398"
"745","50680"
"746","59487"
"747","46482"
"748","63398"
"749","51206"
"750","34638"
"751","69251"
"752","32277"
"753","70799"
"754","117849"
"755","45628"
"756","74882"
"757","71990"
"758","65900"
"759","36991"
"760","69419"
"761","71990"
"762","51838"
"763","41603"
"764","33398"
"765","66934"
"766","62745"
"767","38285"
"768","57554"
"769","45628"
"770","42180"
"771","47084"
"772","61307"
"773","59277"
"774","42168"
"775","55908"
"776","23988"
"777","58294"
"778","41624"
"779","110107"
"780","50386"
"781","66919"
"782","49580"
"783","63974"
"784","59885"
"785","30088"
"786","43788"
"787","46974"
"788","29268"
"789","32837"
"790","53916"
"791","66934"
"792","74882"
"793","31183"
"794","21944"
"795","41609"
"796","69419"
"797","71283"
"798","54888"
"799","78461"
"800","68559"
"801","73791"
"802","49990"
"803","51943"
"804","51003"
"805","59236"
"806","45106"
"807","63752"
"808","66063"
"809","47108"
"810","61397"
"811","62125"
"812","32528"
"813","71139"
"814","99634"
"815","40012"
"816","59238"
"817","18193"
"818","63752"
"819","33456"
"820","49056"
"821","34121"
"822","78574"
"823","37830"
"824","37830"
"825","28417"
"826","62650"
"827","21944"
"828","61397"
"829","76225"
"830","64996"
"831","37380"
"832","36224"
"833","55908"
"834","32077"
"835","45628"
"836","70799"
"837","70799"
"838","32253"
"839","41624"
"840","24641"
"841","42137"
"842","42168"
"843","39993"
"844","49580"
"845","50386"
"846","31219"
"847","37613"
"848","60855"
"849","30088"
"850","59236"
"851","48489"
"852","57493"
"853","46482"
"854","49056"
"855","50386"
"856","48887"
"857","47084"
"858","74920"
"859","41387"
"860","31183"
"861","72597"
"862","47863"
"863","35926"
"864","49056"
"865","34530"
"866","32528"
"867","59236"
"868","39532"
"869","27757"
"870","69003"
"871","42446"
"872","69428"
"873","66934"
"874","78579"
"875","29940"
"876","50680"
"877","29755"
"878","22119"
"879","41903"
"880","57493"
"881","27988"
"882","72597"
"883","56952"
"884","88247"
"885","110107"
"886","67415"
"887","50680"
"888","47605"
"889","69419"
"890","84696"
"891","41387"
"892","32633"
"893","32837"
"894","40980"
"895","106262"
"896","61139"
"897","85887"
"898","38285"
"899","99634"
"900","61139"
"901","48316"
"902","26052"
"903","42180"
"904","52796"
"905","41603"
"906","22842"
"907","37355"
"908","57493"
"909","27629"
"910","67983"
"911","39057"
"912","40266"
"913","33808"
"914","46838"
"915","76914"
"916","29940"
"917","32837"
"918","29355"
"919","29755"
"920","53236"
"921","24731"
"922","106262"
"923","50639"
"924","87146"
"925","32202"
"926","46461"
"927","45565"
"928","46309"
"929","21010"
"930","49990"
"931","46681"
"932","46681"
"933","59277"
"934","58790"
"935","34530"
"936","34638"
"937","34834"
"938","54888"
"939","76914"
"940","59510"
"941","57493"
"942","70060"
"943","94873"
"944","55202"
"945","45628"
"946","88247"
"947","41359"
"948","78579"
"949","26162"
"950","71657"
"951","63909"
"952","64481"
"953","71139"
"954","50639"
"955","67415"
"956","48887"
"957","57980"
"958","59510"
"959","57414"
"960","70450"
"961","59770"
"962","33456"
"963","61139"
"964","43274"
"965","35547"
"966","70450"
"967","45935"
"968","69428"
"969","57414"
"970","45947"
"971","38131"
"972","54271"
"973","74920"
"974","62464"
"975","34121"
"976","30088"
"977","23399"
"978","52339"
"979","35239"
"980","62069"
"981","54888"
"982","49580"
"983","77318"
"984","54967"
"985","30362"
"986","24641"
"987","51003"
"988","59238"
"989","65900"
"990","54707"
"991","38131"
"992","29268"
"993","26939"
"994","34530"
"995","26111"
"996","44330"
"997","36664"
"998","30959"
"999","31219"
"1000","46694"
"1001","45628"
"1002","37684"
"1003","31039"
"1004","51087"
"1005","54888"
"1006","28522"
"1007","54271"
"1008","45565"
"1009","66859"
"1010","42424"
"1011","42158"
"1012","59885"
"1013","110107"
"1014","36991"
"1015","53916"
"1016","37334"
"1017","21944"
"1018","24949"
"1019","78461"
"1020","34530"
"1021","56050"
"1022","43947"
"1023","54452"
"1024","32202"
"1025","62659"
"1026","37627"
"1027","30170"
"1028","78574"
"1029","58790"
"1030","62659"
"1031","70799"
"1032","23416"
"1033","74920"
"1034","78574"
"1035","43274"
"1036","41609"
"1037","40012"
"1038","66560"
"1039","27629"
"1040","53916"
"1041","59612"
"1042","31330"
"1043","47863"
"1044","69419"
"1045","37613"
"1046","49710"
"1047","41696"
"1048","93136"
"1049","53439"
"1050","57493"
"1051","63909"
"1052","59238"
"1053","60879"
"1054","46681"
"1055","49990"
"1056","70724"
"1057","37334"
"1058","63752"
"1059","36621"
"1060","66063"
"1061","64829"
"1062","49710"
"1063","35891"
"1064","73490"
"1065","35239"
"1066","40914"
"1067","25217"
"1068","65311"
"1069","63752"
"1070","40425"
"1071","73791"
"1072","64829"
"1073","72133"
"1074","21944"
"1075","36991"
"1076","51003"
"1077","55773"
"1078","37627"
"1079","29755"
"1080","35720"
"1081","45628"
"1082","110107"
"1083","51570"
"1084","40914"
"1085","40914"
"1086","31639"
"1087","38732"
"1088","50386"
"1089","70553"
"1090","66063"
"1091","84148"
"1092","64829"
"1093","43947"
"1094","66063"
"1095","46681"
"1096","84820"
"1097","47620"
"1098","31355"
"1099","69970"
"1100","30667"
"1101","26052"
"1102","29863"
"1103","71139"
"1104","40980"
"1105","85887"
"1106","56952"
"1107","32837"
"1108","41603"
"1109","49056"
"1110","23399"
"1111","30170"
"1112","59238"
"1113","42446"
"1114","24641"
"1115","67415"
"1116","53236"
"1117","40425"
"1118","47084"
"1119","27757"
"1120","26939"
"1121","59387"
"1122","69970"
"1123","81787"
"1124","39088"
"1125","29559"
"1126","49710"
"1127","33398"
"1128","33398"
"1129","37334"
"1130","55908"
"1131","29017"
"1132","69970"
"1133","35524"
"1134","35765"
"1135","66859"
"1136","33456"
"1137","34530"
"1138","51943"
"1139","57042"
"1140","39166"
"1141","40980"
"1142","59238"
"1143","46309"
"1144","36991"
"1145","59236"
"1146","34638"
"1147","73490"
"1148","62650"
"1149","64988"
"1150","70060"
"1151","31039"
"1152","49710"
"1153","62650"
"1154","59476"
"1155","36991"
"1156","34121"
"1157","21010"
"1158","41387"
"1159","71657"
"1160","47957"
"1161","41097"
"1162","71283"
"1163","37627"
"1164","41097"
"1165","34733"
"1166","47797"
"1167","32202"
"1168","31219"
"1169","69419"
"1170","54271"
"1171","54888"
"1172","88247"
"1173","60879"
"1174","47605"
"1175","59510"
"1176","36227"
"1177","57980"
"1178","54271"
"1179","54888"
"1180","54271"
"1181","58767"
"1182","73791"
"1183","47558"
"1184","42230"
"1185","56516"
"1186","42137"
"1187","37380"
"1188","46461"
"1189","26457"
"1190","22119"
"1191","78051"
"1192","54967"
"1193","71657"
"1194","32633"
"1195","50530"
"1196","52771"
"1197","46974"
"1198","48624"
"1199","52339"
"1200","59510"
"1201","59510"
"1202","23399"
"1203","61141"
"1204","75649"
"1205","57414"
"1206","71283"
"1207","34818"
"1208","57554"
"1209","37380"
"1210","53439"
"1211","43514"
"1212","52771"
"1213","43235"
"1214","54888"
"1215","110107"
"1216","32077"
"1217","53236"
"1218","36224"
"1219","43235"
"1220","59476"
"1221","33786"
"1222","39532"
"1223","41834"
"1224","41073"
"1225","34121"
"1226","40914"
"1227","40012"
"1228","41097"
"1229","21865"
"1230","34834"
"1231","25008"
"1232","51570"
"1233","51570"
"1234","30170"
"1235","56988"
"1236","64988"
"1237","58767"
"1238","66560"
"1239","47084"
"1240","73919"
"1241","45106"
"1242","60879"
"1243","50530"
"1244","71139"
"1245","110107"
"1246","70799"
"1247","66859"
"1248","29355"
"1249","47084"
"1250","35655"
"1251","49710"
"1252","36224"
"1253","42417"
"1254","48961"
"1255","33786"
"1256","76416"
"1257","41624"
"1258","69404"
"1259","37170"
"1260","59236"
"1261","59510"
"1262","31039"
"1263","66063"
"1264","39088"
"1265","45565"
"1266","19969"
"1267","59277"
"1268","39088"
"1269","36227"
"1270","88247"
"1271","47108"
"1272","37830"
"1273","69003"
"1274","53533"
"1275","70799"
"1276","110107"
"1277","54888"
"1278","47084"
"1279","73919"
"1280","88247"
"1281","50680"
"1282","57493"
"1283","46309"
"1284","36227"
"1285","37380"
"1286","44322"
"1287","30170"
"1288","37380"
"1289","46150"
"1290","56516"
"1291","58790"
"1292","47758"
"1293","58767"
"1294","74861"
"1295","51003"
"1296","71283"
"1297","38285"
"1298","56329"
"1299","42137"
"1300","41387"
"1301","47558"
"1302","42417"
"1303","70799"
"1304","77318"
"1305","51838"
"1306","29274"
"1307","64996"
"1308","39883"
"1309","36621"
"1310","56988"
"1311","42180"
"1312","50386"
"1313","99634"
"1314","69419"
"1315","31235"
"1316","27757"
"1317","84696"
"1318","64988"
"1319","51206"
"1320","37627"
"1321","26488"
"1322","39729"
"1323","26029"
"1324","44355"
"1325","54551"
"1326","59214"
"1327","39729"
"1328","59476"
"1329","45628"
"1330","56988"
"1331","35720"
"1332","70724"
"1333","66560"
"1334","62659"
"1335","62125"
"1336","54271"
"1337","42180"
"1338","43947"
"1339","78579"
"1340","64996"
"1341","34733"
"1342","45565"
"1343","76416"
"1344","65900"
"1345","78512"
"1346","37398"
"1347","59510"
"1348","62125"
"1349","50386"
"1350","47797"
"1351","47863"
"1352","51003"
"1353","71657"
"1354","59238"
"1355","62464"
"1356","35765"
"1357","58790"
"1358","70724"
"1359","67983"
"1360","67983"
"1361","60858"
"1362","35239"
"1363","55495"
"1364","54715"
"1365","30170"
"1366","59236"
"1367","47957"
"1368","44946"
"1369","56952"
"1370","41183"
"1371","68559"
"1372","51570"
"1373","37627"
"1374","39729"
"1375","26029"
"1376","43788"
"1377","38131"
"1378","59236"
"1379","48624"
"1380","56988"
"1381","85887"
"1382","56329"
"1383","48316"
"1384","74882"
"1385","51570"
"1386","32077"
"1387","39993"
"1388","62464"
"1389","57554"
"1390","54452"
"1391","54707"
"1392","51943"
"1393","48489"
"1394","78512"
"1395","42168"
"1396","61139"
"1397","70799"
"1398","24949"
"1399","40012"
"1400","32633"
"1401","49710"
"1402","42158"
"1403","37613"
"1404","42230"
"1405","45947"
"1406","33808"
"1407","64996"
"1408","69428"
"1409","74882"
"1410","29017"
"1411","62659"
"1412","47863"
"1413","43274"
"1414","33362"
"1415","43564"
"1416","50639"
"1417","37398"
"1418","36991"
"1419","41165"
"1420","62263"
"1421","78574"
"1422","43564"
"1423","62464"
"1424","32077"
"1425","54888"
"1426","81398"
"1427","36621"
"1428","85887"
"1429","67415"
"1430","32264"
"1431","93136"
"1432","64996"
"1433","24641"
"1434","64988"
"1435","69003"
"1436","69428"
"1437","51206"
"1438","59885"
"1439","24949"
"1440","63974"
"1441","52339"
"1442","64594"
"1443","34638"
"1444","49825"
"1445","31330"
"1446","119331"
"1447","38285"
"1448","47558"
"1449","47558"
"1450","41482"
"1451","31355"
"1452","66934"
"1453","51838"
"1454","51087"
"1455","37355"
"1456","66859"
"1457","50201"
"1458","84820"
"1459","59277"
"1460","19591"
"1461","64197"
"1462","54271"
"1463","54271"
"1464","40425"
"1465","57493"
"1466","36189"
"1467","63777"
"1468","37459"
"1469","96675"
"1470","39577"
"1471","62650"
"1472","29268"
"1473","48438"
"1474","49990"
"1475","62464"
"1476","20783"
"1477","39532"
"1478","70553"
"1479","66063"
"1480","50530"
"1481","65311"
"1482","47797"
"1483","26029"
"1484","29863"
"1485","66560"
"1486","60855"
"1487","46974"
"1488","42230"
"1489","57414"
"1490","50680"
"1491","47863"
"1492","42446"
"1493","46482"
"1494","28522"
"1495","69003"
"1496","71990"
"1497","48316"
"1498","36057"
"1499","24949"
"1500","33808"
"1501","44946"
"1502","77318"
"1503","28972"
"1504","78051"
"1505","35547"
"1506","39088"
"1507","41387"
"1508","49056"
"1509","38732"
"1510","37613"
"1511","26777"
"1512","41359"
"1513","70450"
"1514","36057"
"1515","59387"
"1516","32644"
"1517","69649"
"1518","48624"
"1519","59770"
"1520","36621"
"1521","26275"
"1522","41097"
"1523","81398"
"1524","47957"
"1525","40980"
"1526","42446"
"1527","54271"
"1528","70799"
"1529","78574"
"1530","33845"
"1531","88247"
"1532","58790"
"1533","69970"
"1534","57042"
"1535","63752"
"1536","42230"
"1537","42158"
"1538","37627"
"1539","65608"
"1540","63777"
"1541","85887"
"1542","52339"
"1543","35547"
"1544","44322"
"1545","51206"
"1546","43454"
"1547","35265"
"1548","34305"
"1549","29755"
"1550","32202"
"1551","46694"
"1552","106262"
"1553","51206"
"1554","41603"
"1555","54888"
"1556","64988"
"1557","64829"
"1558","68559"
"1559","50680"
"1560","37767"
"1561","59510"
"1562","66859"
"1563","73919"
"1564","29863"
"1565","36664"
"1566","49825"
"1567","54271"
"1568","54888"
"1569","30164"
"1570","71283"
"1571","81170"
"1572","41624"
"1573","62464"
"1574","30164"
"1575","30164"
"1576","41609"
"1577","57414"
"1578","32277"
"1579","32633"
"1580","42424"
"1581","78574"
